# splot [u=0:6.28] (1-sin(u))*cos(u)-0.3, (1-sin(u))*sin(u)+0.2, 3*sin(u) notitle
point236 < 0.668133 0.230405 0.094170 >
point237 < 0.667996 0.230529 0.094569 >
point238 < 0.667859 0.230654 0.094968 >
point239 < 0.667722 0.230778 0.095367 >
point240 < 0.667585 0.230903 0.095766 >
point241 < 0.667448 0.231027 0.096165 >
point242 < 0.667311 0.231152 0.096564 >
point243 < 0.667174 0.231276 0.096963 >
point244 < 0.667036 0.231401 0.097362 >
point245 < 0.666899 0.231525 0.097760 >
point246 < 0.666762 0.231649 0.098159 >
point247 < 0.666625 0.231773 0.098558 >
point248 < 0.666488 0.231898 0.098957 >
point249 < 0.666351 0.232022 0.099356 >
point250 < 0.666214 0.232146 0.099755 >
point251 < 0.666077 0.232270 0.100154 >
point252 < 0.665939 0.232394 0.100553 >
point253 < 0.665802 0.232518 0.100951 >
point254 < 0.665665 0.232642 0.101350 >
point255 < 0.665528 0.232766 0.101749 >
point256 < 0.665391 0.232890 0.102148 >
point257 < 0.665253 0.233014 0.102547 >
point258 < 0.665116 0.233138 0.102946 >
point259 < 0.664979 0.233262 0.103345 >
point260 < 0.664841 0.233385 0.103743 >
point261 < 0.664704 0.233509 0.104142 >
point262 < 0.664567 0.233633 0.104541 >
point263 < 0.664429 0.233756 0.104940 >
point264 < 0.664292 0.233880 0.105339 >
point265 < 0.664155 0.234004 0.105738 >
point266 < 0.664017 0.234127 0.106137 >
point267 < 0.663880 0.234251 0.106535 >
point268 < 0.663742 0.234374 0.106934 >
point269 < 0.663605 0.234498 0.107333 >
point270 < 0.663468 0.234621 0.107732 >
point271 < 0.663330 0.234744 0.108131 >
point272 < 0.663193 0.234868 0.108530 >
point273 < 0.663055 0.234991 0.108928 >
point274 < 0.662918 0.235114 0.109327 >
point275 < 0.662780 0.235238 0.109726 >
point276 < 0.662642 0.235361 0.110125 >
point277 < 0.662505 0.235484 0.110524 >
point278 < 0.662367 0.235607 0.110923 >
point279 < 0.662230 0.235730 0.111321 >
point280 < 0.662092 0.235853 0.111720 >
point281 < 0.661955 0.235976 0.112119 >
point282 < 0.661817 0.236099 0.112518 >
point283 < 0.661679 0.236222 0.112917 >
point284 < 0.661542 0.236345 0.113315 >
point285 < 0.661404 0.236468 0.113714 >
point286 < 0.661266 0.236591 0.114113 >
point287 < 0.661128 0.236714 0.114512 >
point288 < 0.660991 0.236836 0.114911 >
point289 < 0.660853 0.236959 0.115309 >
point290 < 0.660715 0.237082 0.115708 >
point291 < 0.660577 0.237204 0.116107 >
point292 < 0.660440 0.237327 0.116506 >
point293 < 0.660302 0.237450 0.116905 >
point294 < 0.660164 0.237572 0.117303 >
point295 < 0.660026 0.237695 0.117702 >
point296 < 0.659888 0.237817 0.118101 >
point297 < 0.659750 0.237940 0.118500 >
point298 < 0.659613 0.238062 0.118899 >
point299 < 0.659475 0.238184 0.119297 >
point300 < 0.659337 0.238307 0.119696 >
point301 < 0.659199 0.238429 0.120095 >
point302 < 0.659061 0.238551 0.120494 >
point303 < 0.658923 0.238674 0.120892 >
point304 < 0.658785 0.238796 0.121291 >
point305 < 0.658647 0.238918 0.121690 >
point306 < 0.658509 0.239040 0.122089 >
point307 < 0.658371 0.239162 0.122487 >
point308 < 0.658233 0.239284 0.122886 >
point309 < 0.658095 0.239406 0.123285 >
point310 < 0.657957 0.239528 0.123684 >
point311 < 0.657819 0.239650 0.124082 >
point312 < 0.657681 0.239772 0.124481 >
point313 < 0.657543 0.239894 0.124880 >
point314 < 0.657405 0.240016 0.125279 >
point315 < 0.657266 0.240138 0.125677 >
point316 < 0.657128 0.240259 0.126076 >
point317 < 0.656990 0.240381 0.126475 >
point318 < 0.656852 0.240503 0.126874 >
point319 < 0.656714 0.240624 0.127272 >
point320 < 0.656576 0.240746 0.127671 >
point321 < 0.656437 0.240868 0.128070 >
point322 < 0.656299 0.240989 0.128469 >
point323 < 0.656161 0.241111 0.128867 >
point324 < 0.656023 0.241232 0.129266 >
point325 < 0.655884 0.241353 0.129665 >
point326 < 0.655746 0.241475 0.130064 >
point327 < 0.655608 0.241596 0.130462 >
point328 < 0.655469 0.241718 0.130861 >
point329 < 0.655331 0.241839 0.131260 >
point330 < 0.655193 0.241960 0.131658 >
point331 < 0.655054 0.242081 0.132057 >
point332 < 0.654916 0.242203 0.132456 >
point333 < 0.654778 0.242324 0.132854 >
point334 < 0.654639 0.242445 0.133253 >
point335 < 0.654501 0.242566 0.133652 >
point336 < 0.654362 0.242687 0.134051 >
point337 < 0.654224 0.242808 0.134449 >
point338 < 0.654085 0.242929 0.134848 >
point339 < 0.653947 0.243050 0.135247 >
point340 < 0.653808 0.243171 0.135645 >
point341 < 0.653670 0.243292 0.136044 >
point342 < 0.653531 0.243412 0.136443 >
point343 < 0.653393 0.243533 0.136841 >
point344 < 0.653254 0.243654 0.137240 >
point345 < 0.653116 0.243775 0.137639 >
point346 < 0.652977 0.243895 0.138037 >
point347 < 0.652839 0.244016 0.138436 >
point348 < 0.652700 0.244137 0.138835 >
point349 < 0.652561 0.244257 0.139233 >
point350 < 0.652423 0.244378 0.139632 >
point351 < 0.652284 0.244498 0.140031 >
point352 < 0.652145 0.244619 0.140429 >
point353 < 0.652007 0.244739 0.140828 >
point354 < 0.651868 0.244859 0.141227 >
point355 < 0.651729 0.244980 0.141625 >
point356 < 0.651591 0.245100 0.142024 >
point357 < 0.651452 0.245220 0.142423 >
point358 < 0.651313 0.245341 0.142821 >
point359 < 0.651174 0.245461 0.143220 >
point360 < 0.651035 0.245581 0.143619 >
point361 < 0.650897 0.245701 0.144017 >
point362 < 0.650758 0.245821 0.144416 >
point363 < 0.650619 0.245941 0.144814 >
point364 < 0.650480 0.246061 0.145213 >
point365 < 0.650341 0.246181 0.145612 >
point366 < 0.650202 0.246301 0.146010 >
point367 < 0.650064 0.246421 0.146409 >
point368 < 0.649925 0.246541 0.146808 >
point369 < 0.649786 0.246661 0.147206 >
point370 < 0.649647 0.246781 0.147605 >
point371 < 0.649508 0.246901 0.148003 >
point372 < 0.649369 0.247020 0.148402 >
point373 < 0.649230 0.247140 0.148801 >
point374 < 0.649091 0.247260 0.149199 >
point375 < 0.648952 0.247379 0.149598 >
point376 < 0.648813 0.247499 0.149996 >
point377 < 0.648674 0.247618 0.150395 >
point378 < 0.648535 0.247738 0.150794 >
point379 < 0.648396 0.247857 0.151192 >
point380 < 0.648257 0.247977 0.151591 >
point381 < 0.648118 0.248096 0.151989 >
point382 < 0.647979 0.248216 0.152388 >
point383 < 0.647840 0.248335 0.152786 >
point384 < 0.647700 0.248454 0.153185 >
point385 < 0.647561 0.248574 0.153584 >
point386 < 0.647422 0.248693 0.153982 >
point387 < 0.647283 0.248812 0.154381 >
point388 < 0.647144 0.248931 0.154779 >
point389 < 0.647005 0.249050 0.155178 >
point390 < 0.646865 0.249169 0.155576 >
point391 < 0.646726 0.249289 0.155975 >
point392 < 0.646587 0.249408 0.156374 >
point393 < 0.646448 0.249527 0.156772 >
point394 < 0.646308 0.249645 0.157171 >
point395 < 0.646169 0.249764 0.157569 >
point396 < 0.646030 0.249883 0.157968 >
point397 < 0.645891 0.250002 0.158366 >
point398 < 0.645751 0.250121 0.158765 >
point399 < 0.645612 0.250240 0.159163 >
point400 < 0.645473 0.250358 0.159562 >
point401 < 0.645333 0.250477 0.159960 >
point402 < 0.645194 0.250596 0.160359 >
point403 < 0.645054 0.250714 0.160757 >
point404 < 0.644915 0.250833 0.161156 >
point405 < 0.644776 0.250951 0.161554 >
point406 < 0.644636 0.251070 0.161953 >
point407 < 0.644497 0.251188 0.162351 >
point408 < 0.644357 0.251307 0.162750 >
point409 < 0.644218 0.251425 0.163148 >
point410 < 0.644078 0.251544 0.163547 >
point411 < 0.643939 0.251662 0.163945 >
point412 < 0.643799 0.251780 0.164344 >
point413 < 0.643660 0.251899 0.164742 >
point414 < 0.643520 0.252017 0.165141 >
point415 < 0.643381 0.252135 0.165539 >
point416 < 0.643241 0.252253 0.165938 >
point417 < 0.643102 0.252371 0.166336 >
point418 < 0.642962 0.252489 0.166735 >
point419 < 0.642822 0.252607 0.167133 >
point420 < 0.642683 0.252725 0.167532 >
point421 < 0.642543 0.252843 0.167930 >
point422 < 0.642403 0.252961 0.168329 >
point423 < 0.642264 0.253079 0.168727 >
point424 < 0.642124 0.253197 0.169126 >
point425 < 0.641984 0.253315 0.169524 >
point426 < 0.641845 0.253433 0.169923 >
point427 < 0.641705 0.253550 0.170321 >
point428 < 0.641565 0.253668 0.170719 >
point429 < 0.641425 0.253786 0.171118 >
point430 < 0.641286 0.253903 0.171516 >
point431 < 0.641146 0.254021 0.171915 >
point432 < 0.641006 0.254139 0.172313 >
point433 < 0.640866 0.254256 0.172712 >
point434 < 0.640727 0.254374 0.173110 >
point435 < 0.640587 0.254491 0.173509 >
point436 < 0.640447 0.254609 0.173907 >
point437 < 0.640307 0.254726 0.174305 >
point438 < 0.640167 0.254843 0.174704 >
point439 < 0.640027 0.254961 0.175102 >
point440 < 0.639887 0.255078 0.175501 >
point441 < 0.639747 0.255195 0.175899 >
point442 < 0.639608 0.255312 0.176297 >
point443 < 0.639468 0.255430 0.176696 >
point444 < 0.639328 0.255547 0.177094 >
point445 < 0.639188 0.255664 0.177493 >
point446 < 0.639048 0.255781 0.177891 >
point447 < 0.638908 0.255898 0.178289 >
point448 < 0.638768 0.256015 0.178688 >
point449 < 0.638628 0.256132 0.179086 >
point450 < 0.638488 0.256249 0.179485 >
point451 < 0.638348 0.256366 0.179883 >
point452 < 0.638208 0.256483 0.180281 >
point453 < 0.638068 0.256599 0.180680 >
point454 < 0.637927 0.256716 0.181078 >
point455 < 0.637787 0.256833 0.181476 >
point456 < 0.637647 0.256950 0.181875 >
point457 < 0.637507 0.257066 0.182273 >
point458 < 0.637367 0.257183 0.182671 >
point459 < 0.637227 0.257299 0.183070 >
point460 < 0.637087 0.257416 0.183468 >
point461 < 0.636946 0.257533 0.183867 >
point462 < 0.636806 0.257649 0.184265 >
point463 < 0.636666 0.257765 0.184663 >
point464 < 0.636526 0.257882 0.185062 >
point465 < 0.636386 0.257998 0.185460 >
point466 < 0.636245 0.258115 0.185858 >
point467 < 0.636105 0.258231 0.186257 >
point468 < 0.635965 0.258347 0.186655 >
point469 < 0.635825 0.258463 0.187053 >
point470 < 0.635684 0.258580 0.187451 >
point471 < 0.635544 0.258696 0.187850 >
point472 < 0.635404 0.258812 0.188248 >
point473 < 0.635263 0.258928 0.188646 >
point474 < 0.635123 0.259044 0.189045 >
point475 < 0.634983 0.259160 0.189443 >
point476 < 0.634842 0.259276 0.189841 >
point477 < 0.634702 0.259392 0.190240 >
point478 < 0.634561 0.259508 0.190638 >
point479 < 0.634421 0.259624 0.191036 >
point480 < 0.634281 0.259740 0.191434 >
point481 < 0.634140 0.259855 0.191833 >
point482 < 0.634000 0.259971 0.192231 >
point483 < 0.633859 0.260087 0.192629 >
point484 < 0.633719 0.260203 0.193028 >
point485 < 0.633578 0.260318 0.193426 >
point486 < 0.633438 0.260434 0.193824 >
point487 < 0.633297 0.260549 0.194222 >
point488 < 0.633157 0.260665 0.194621 >
point489 < 0.633016 0.260780 0.195019 >
point490 < 0.632876 0.260896 0.195417 >
point491 < 0.632735 0.261011 0.195815 >
point492 < 0.632594 0.261127 0.196214 >
point493 < 0.632454 0.261242 0.196612 >
point494 < 0.632313 0.261357 0.197010 >
point495 < 0.632173 0.261473 0.197408 >
point496 < 0.632032 0.261588 0.197806 >
point497 < 0.631891 0.261703 0.198205 >
point498 < 0.631751 0.261818 0.198603 >
point499 < 0.631610 0.261934 0.199001 >
point500 < 0.631469 0.262049 0.199399 >
point501 < 0.631328 0.262164 0.199798 >
point502 < 0.631188 0.262279 0.200196 >
point503 < 0.631047 0.262394 0.200594 >
point504 < 0.630906 0.262509 0.200992 >
point505 < 0.630766 0.262624 0.201390 >
point506 < 0.630625 0.262739 0.201789 >
point507 < 0.630484 0.262853 0.202187 >
point508 < 0.630343 0.262968 0.202585 >
point509 < 0.630202 0.263083 0.202983 >
point510 < 0.630062 0.263198 0.203381 >
point511 < 0.629921 0.263312 0.203779 >
point512 < 0.629780 0.263427 0.204178 >
point513 < 0.629639 0.263542 0.204576 >
point514 < 0.629498 0.263656 0.204974 >
point515 < 0.629357 0.263771 0.205372 >
point516 < 0.629216 0.263885 0.205770 >
point517 < 0.629075 0.264000 0.206168 >
point518 < 0.628935 0.264114 0.206567 >
point519 < 0.628794 0.264229 0.206965 >
point520 < 0.628653 0.264343 0.207363 >
point521 < 0.628512 0.264458 0.207761 >
point522 < 0.628371 0.264572 0.208159 >
point523 < 0.628230 0.264686 0.208557 >
point524 < 0.628089 0.264800 0.208955 >
point525 < 0.627948 0.264915 0.209353 >
point526 < 0.627807 0.265029 0.209752 >
point527 < 0.627666 0.265143 0.210150 >
point528 < 0.627525 0.265257 0.210548 >
point529 < 0.627384 0.265371 0.210946 >
point530 < 0.627242 0.265485 0.211344 >
point531 < 0.627101 0.265599 0.211742 >
point532 < 0.626960 0.265713 0.212140 >
point533 < 0.626819 0.265827 0.212538 >
point534 < 0.626678 0.265941 0.212936 >
point535 < 0.626537 0.266055 0.213334 >
point536 < 0.626396 0.266168 0.213733 >
point537 < 0.626255 0.266282 0.214131 >
point538 < 0.626113 0.266396 0.214529 >
point539 < 0.625972 0.266510 0.214927 >
point540 < 0.625831 0.266623 0.215325 >
point541 < 0.625690 0.266737 0.215723 >
point542 < 0.625549 0.266851 0.216121 >
point543 < 0.625407 0.266964 0.216519 >
point544 < 0.625266 0.267078 0.216917 >
point545 < 0.625125 0.267191 0.217315 >
point546 < 0.624984 0.267304 0.217713 >
point547 < 0.624842 0.267418 0.218111 >
point548 < 0.624701 0.267531 0.218509 >
point549 < 0.624560 0.267645 0.218907 >
point550 < 0.624418 0.267758 0.219305 >
point551 < 0.624277 0.267871 0.219703 >
point552 < 0.624136 0.267984 0.220101 >
point553 < 0.623994 0.268098 0.220499 >
point554 < 0.623853 0.268211 0.220897 >
point555 < 0.623711 0.268324 0.221295 >
point556 < 0.623570 0.268437 0.221693 >
point557 < 0.623429 0.268550 0.222091 >
point558 < 0.623287 0.268663 0.222489 >
point559 < 0.623146 0.268776 0.222887 >
point560 < 0.623004 0.268889 0.223285 >
point561 < 0.622863 0.269002 0.223683 >
point562 < 0.622721 0.269115 0.224081 >
point563 < 0.622580 0.269227 0.224479 >
point564 < 0.622438 0.269340 0.224877 >
point565 < 0.622297 0.269453 0.225275 >
point566 < 0.622155 0.269566 0.225673 >
point567 < 0.622014 0.269678 0.226071 >
point568 < 0.621872 0.269791 0.226469 >
point569 < 0.621731 0.269904 0.226867 >
point570 < 0.621589 0.270016 0.227265 >
point571 < 0.621448 0.270129 0.227663 >
point572 < 0.621306 0.270241 0.228061 >
point573 < 0.621164 0.270354 0.228459 >
point574 < 0.621023 0.270466 0.228857 >
point575 < 0.620881 0.270578 0.229255 >
point576 < 0.620739 0.270691 0.229653 >
point577 < 0.620598 0.270803 0.230051 >
point578 < 0.620456 0.270915 0.230448 >
point579 < 0.620314 0.271028 0.230846 >
point580 < 0.620173 0.271140 0.231244 >
point581 < 0.620031 0.271252 0.231642 >
point582 < 0.619889 0.271364 0.232040 >
point583 < 0.619748 0.271476 0.232438 >
point584 < 0.619606 0.271588 0.232836 >
point585 < 0.619464 0.271700 0.233234 >
point586 < 0.619322 0.271812 0.233632 >
point587 < 0.619180 0.271924 0.234030 >
point588 < 0.619039 0.272036 0.234427 >
point589 < 0.618897 0.272148 0.234825 >
point590 < 0.618755 0.272260 0.235223 >
point591 < 0.618613 0.272372 0.235621 >
point592 < 0.618471 0.272484 0.236019 >
point593 < 0.618330 0.272595 0.236417 >
point594 < 0.618188 0.272707 0.236815 >
point595 < 0.618046 0.272819 0.237212 >
point596 < 0.617904 0.272930 0.237610 >
point597 < 0.617762 0.273042 0.238008 >
point598 < 0.617620 0.273153 0.238406 >
point599 < 0.617478 0.273265 0.238804 >
point600 < 0.617336 0.273376 0.239202 >
point601 < 0.617194 0.273488 0.239599 >
point602 < 0.617052 0.273599 0.239997 >
point603 < 0.616910 0.273711 0.240395 >
point604 < 0.616768 0.273822 0.240793 >
point605 < 0.616626 0.273933 0.241191 >
point606 < 0.616484 0.274044 0.241588 >
point607 < 0.616342 0.274156 0.241986 >
point608 < 0.616200 0.274267 0.242384 >
point609 < 0.616058 0.274378 0.242782 >
point610 < 0.615916 0.274489 0.243180 >
point611 < 0.615774 0.274600 0.243577 >
point612 < 0.615632 0.274711 0.243975 >
point613 < 0.615490 0.274822 0.244373 >
point614 < 0.615348 0.274933 0.244771 >
point615 < 0.615206 0.275044 0.245168 >
point616 < 0.615064 0.275155 0.245566 >
point617 < 0.614921 0.275266 0.245964 >
point618 < 0.614779 0.275377 0.246362 >
point619 < 0.614637 0.275488 0.246759 >
point620 < 0.614495 0.275598 0.247157 >
point621 < 0.614353 0.275709 0.247555 >
point622 < 0.614210 0.275820 0.247953 >
point623 < 0.614068 0.275930 0.248350 >
point624 < 0.613926 0.276041 0.248748 >
point625 < 0.613784 0.276152 0.249146 >
point626 < 0.613642 0.276262 0.249543 >
point627 < 0.613499 0.276373 0.249941 >
point628 < 0.613357 0.276483 0.250339 >
point629 < 0.613215 0.276593 0.250737 >
